protein1	protein2	combined_score
PSMA4	HYKK	0.889
PSMA4	CHRNB4	0.938
PSMA4	CHRNA3	0.939
PSMA4	CHRNA5	0.946
KCNQ1	IGF2BP2	0.739
TOX3	NEK10	0.77
TOX3	RAD51B	0.77
TOX3	BRCA2	0.797
TOX3	FGFR2	0.826
TOX3	MAP3K1	0.838
STN1	ATM	0.713
STN1	TP53BP1	0.828
STN1	TERT	0.828
STN1	POT1	0.876
STN1	RAD52	0.892
GAR1	POT1	0.795
GAR1	NAF1	0.926
GAR1	TERT	0.971
CCDC170	ESR1	0.785
BTN3A3	BTN3A2	0.96
BTN3A3	BTN3A1	0.966
H4C6	ATM	0.772
H4C6	BAZ1A	0.787
H4C6	CHEK2	0.81
H4C6	MORF4L1	0.835
H4C6	GTF2H4	0.841
H4C6	BPTF	0.904
H4C6	PRMT6	0.92
H4C6	H2BC13	0.936
H4C6	H2BC6	0.968
H4C6	H1-4	0.968
H4C6	H4C8	0.975
H4C6	H2AC6	0.993
H4C6	H2BC17	0.998
H4C6	TP53BP1	0.999
H1-1	H4C8	0.811
RALY	ASIP	0.801
ABHD8	ANKLE1	0.737
C6orf15	HLA-C	0.762
PSORS1C1	HLA-C	0.772
PGBD1	ZKSCAN3	0.828
GTF2H4	ZNRD1	0.706
GTF2H4	H4C8	0.84
HLA-F	HLA-DQB1	0.738
HLA-F	STAT1	0.746
HLA-F	HLA-DOB	0.929
HLA-F	HLA-DPB1	0.931
HLA-F	HLA-DRB1	0.94
HLA-F	HLA-DRA	0.945
HLA-F	HLA-G	0.978
HLA-F	HLA-B	0.982
HLA-F	HLA-C	0.99
HLA-F	HLA-A	0.996
HLA-F	HLA-E	0.997
CHRNB4	HYKK	0.702
CHRNB4	CHRNA2	0.918
CHRNB4	CHRNA5	0.919
CHRNB4	CHRNA4	0.92
CHRNB4	CHRNA3	0.998
SMAD7	STAT1	0.902
SMAD7	ACVR1B	0.902
ATRN	ASIP	0.83
TP63	CDKN2A	0.741
FGF7	FGFR2	0.999
CDKN2B	IGF2BP2	0.773
CDKN2B	MTAP	0.818
CDKN2B	CDKN2A	0.951
ATM	RFC3	0.702
ATM	MSH5	0.705
ATM	FGFR2	0.705
ATM	RTEL1	0.716
ATM	TERT	0.825
ATM	CDKN2A	0.847
ATM	PMS1	0.863
ATM	RAD51B	0.865
ATM	RAD52	0.94
ATM	MDM4	0.954
ATM	CASP8	0.961
ATM	BRCA2	0.995
ATM	CHEK2	0.999
ATM	TP53BP1	0.999
BTN3A1	BTN3A2	0.993
WNT4	DVL1	0.815
CHRNA5	HYKK	0.758
CHRNA5	CYP2A6	0.822
CHRNA5	CHRNA4	0.877
CHRNA5	CHRNA3	0.98
CYP2A6	CHRNA3	0.777
CYP2A6	CYP1A1	0.958
CYP2A6	CYP1A2	0.969
HSPA4	CASP8	0.711
HSPA4	DVL1	0.742
HSPA4	ESR1	0.931
HSPA4	DNAJB4	0.982
PTGDR	PDS5B	0.816
BPTF	BAZ1A	0.935
H1-4	H4C8	0.937
TERT	RAD52	0.77
TERT	H2BC6	0.807
TERT	CDKN2A	0.817
TERT	RTEL1	0.918
TERT	CLPTM1L	0.926
TERT	POT1	0.99
PDS5B	BRCA2	0.939
CHRNA3	HYKK	0.784
CHRNA3	CHRNA2	0.915
CHRNA3	CHRNA4	0.915
CYP8B1	NR1H4	0.861
MYNN	ACTRT3	0.734
MORF4L1	BRCA2	0.733
HLA-DQA1	HLA-B	0.746
HLA-DQA1	HLA-DQA2	0.753
HLA-DQA1	HLA-G	0.759
HLA-DQA1	HLA-DRA	0.838
HLA-DQA1	HLA-E	0.842
HLA-DQA1	HLA-DQB2	0.869
HLA-DQA1	HLA-DOB	0.872
HLA-DQA1	HLA-C	0.945
HLA-DQA1	HLA-DPB1	0.967
HLA-DQA1	HLA-A	0.973
HLA-DQA1	HLA-DRB1	0.991
HLA-DQA1	HLA-DQB1	0.999
CYP1A2	CYP1A1	0.95
POT1	RTEL1	0.729
RAD52	RFC3	0.708
RAD52	RAD51B	0.889
RAD52	CHEK2	0.891
RAD52	TP53BP1	0.967
RAD52	BRCA2	0.993
BABAM1	BRCA2	0.713
HLA-DRB1	HLA-G	0.71
HLA-DRB1	HLA-DQB1	0.75
HLA-DRB1	HLA-DQB2	0.765
HLA-DRB1	BTNL2	0.845
HLA-DRB1	H2BC13	0.901
HLA-DRB1	HLA-E	0.939
HLA-DRB1	HLA-A	0.942
HLA-DRB1	HLA-DPB1	0.943
HLA-DRB1	HLA-DOB	0.944
HLA-DRB1	HLA-DQA2	0.955
HLA-DRB1	HLA-B	0.963
HLA-DRB1	HLA-C	0.967
HLA-DRB1	HLA-DRA	0.999
STAT1	FGFR1OP	0.753
STAT1	HLA-E	0.758
STAT1	HLA-A	0.768
STAT1	HLA-C	0.809
STAT1	IRF4	0.81
STAT1	HLA-B	0.817
STAT1	ADAR	0.833
STAT1	HLA-DRA	0.849
STAT1	ESR1	0.915
STAT1	CIITA	0.957
FGFR1OP	RNASET2	0.885
MDM4	CHEK2	0.92
MDM4	CDKN2A	0.963
ADAR	DVL1	0.757
CHRNA4	CHRNA2	0.939
HLA-DQA2	HLA-G	0.837
HLA-DQA2	HLA-E	0.841
HLA-DQA2	HLA-DRA	0.879
HLA-DQA2	HLA-DOB	0.915
HLA-DQA2	HLA-A	0.919
HLA-DQA2	HLA-C	0.925
HLA-DQA2	HLA-DPB1	0.932
HLA-DQA2	HLA-B	0.936
HLA-DQA2	HLA-DQB2	0.942
HLA-DQA2	HLA-DQB1	0.985
HLA-DQB1	HLA-DOB	0.756
HLA-DQB1	BTNL2	0.758
HLA-DQB1	HLA-B	0.763
HLA-DQB1	HLA-DPB1	0.765
HLA-DQB1	HLA-C	0.833
HLA-DQB1	HLA-A	0.854
HLA-DQB1	HLA-DRA	0.976
NOTCH4	DVL1	0.919
MSH5	BRCA2	0.72
MSH5	PMS1	0.915
HLA-C	HLA-DPB1	0.938
HLA-C	HLA-G	0.95
HLA-C	HLA-DOB	0.951
HLA-C	HLA-DRA	0.961
HLA-C	HLA-E	0.989
HLA-C	HLA-A	0.998
HLA-C	HLA-B	0.998
HLA-E	HFE	0.747
HLA-E	HLA-DOB	0.924
HLA-E	HLA-DPB1	0.933
HLA-E	HLA-DRA	0.969
HLA-E	HLA-G	0.98
HLA-E	HLA-A	0.989
HLA-E	HLA-B	0.994
HLA-G	HLA-A	0.947
HLA-G	HLA-B	0.959
H2BC13	HLA-DRA	0.9
H2AC6	H2BC6	0.979
H2AC6	H2BC17	0.99
H2AC6	H4C8	0.991
ACTR2	CDKN2A	0.766
DSP	KRT8	0.869
RFC3	BRCA2	0.723
BRCA2	ESR1	0.723
BRCA2	CDKN2A	0.806
BRCA2	PMS1	0.843
BRCA2	TP53BP1	0.922
BRCA2	RAD51B	0.961
BRCA2	CHEK2	0.985
TP53BP1	H2BC6	0.9
TP53BP1	H4C8	0.916
TP53BP1	CHEK2	0.996
MIPEP	TNFRSF19	0.713
CHEK2	CDKN2A	0.758
CHEK2	RAD51B	0.785
CYP1A1	ESR1	0.785
HLA-DRA	BTNL2	0.774
HLA-DRA	CIITA	0.831
HLA-DRA	HLA-A	0.95
HLA-DRA	HLA-DQB2	0.962
HLA-DRA	HLA-B	0.975
HLA-DRA	HLA-DOB	0.98
HLA-DRA	HLA-DPB1	0.993
HLA-A	HLA-DOB	0.922
HLA-A	HLA-DPB1	0.942
HLA-A	HLA-B	0.999
TET3	TET2	0.964
HLA-DQB2	HLA-DOB	0.75
HLA-B	HLA-DPB1	0.946
HLA-B	HLA-DOB	0.956
ESR1	NR1H4	0.744
ESR1	FGFR2	0.774
HLA-DPB1	HLA-DOB	0.914
IGF2BP2	CDKN2A	0.734
FGFR2	PIK3CB	0.754
FGFR2	PDGFC	0.756
CDKN2A	MTAP	0.931
EPHX2	MTAP	0.877
H2BC17	H2BC6	0.897
H2BC17	H4C8	0.964
H4C8	H2BC6	0.979
